cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS,LOCATION,coordinate,lat,lon
11,1622,대구광역시 중구 종로2가 2-2,한식,미금수뿔,010-****-2854,16:00 ~ 02:00,50석,없음(인근 유료주차장 이용),없음,영어 일본어 중국어 &lt;BR&gt;,가능,불가능,불가능,불가능,"미식가용 삼겹살 9,800원 
항정살 9,800원 
가브리살 9,800원 
삼겹살 9,500원
",`미금수뿔` 은 돼지고기 전문점으로 최상의 품질인 고기만 엄선하여 판매하고 있는 음식점입니다.,"지하철은 1호선, 2호선 반월당역 15번 출구에서 약 252m 거리.",버스 정류장은 `만경관건너` 정류장이 가장 가깝습니다.,중구,"[35.8692867, 128.5917577]",35.8692867,128.5917577
12,1621,대구광역시 중구 남성로 103-2,한식,거송갈비찜,053-424-3335,11:00 ~ 20:20,18석,없음(인근 유료주차장 이용),없음,영어 일본어 중국어 &lt;BR&gt;,가능,불가능,불가능,가능,"소갈비찜(1인분) 18,000원 
돼지갈비찜(1인분) 10,000원 
갈비만두 5,000원 
김치말이국수 5,000원
",`거송갈비찜`은 엄선된 질 좋은 돼지고기 립을 대구 약전골목 전통한방 약재를 넣어 숙성시킨 후 비법 소스를 듬뿍 넣어 부드럽고 매콤하게 만든 갈비찜 전문점입니다.,"지하철 1호선, 2호선 반월당역 17번 출구에서 도보로 약 201m 거리.",버스 정류장은 `약령시입구` 정류장이 가장 가깝습니다.,중구,"[35.867333, 128.5909547]",35.867333,128.5909547
13,1620,대구광역시 중구 남산동 253-1,중식,유창반점,053-254-7297,11:00 ~ 20:00,45석,없음(인근 유료주차장 이용),없음,중국어 &lt;BR&gt;,불가,불가능,불가능,불가능,"중화비빔밥 8,000원
중회비빔면 8,000원
짬뽕 7,000원
탕수육 10,000원 ~ 28,000원",`유창반점` 은 중구 남산동에 위치한 짬뽕과 중화비빔밥이 유명한 중국집입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 364m 거리.",버스 정류장은 `남산2동주민센터건너` 정류장이 가장 가깝습니다.,중구,"[35.8644932, 128.5886925]",35.8644932,128.5886925
14,1618,대구광역시 중구 봉산동 35-62,일식,도마29,053-216-1129,11:00 ~ 21:00 (브레이크타임 15:30 ~ 17:00),23석,없음(인근 유료주차장 이용),없음,영어 중국어 &lt;BR&gt;,불가,불가능,불가능,불가능,"연어초밥 14,000원 
모듬초밥 11,000원 
흐트러진덮밥 12,000원 
연어샐러드 9,000원 
사케동 12,000웜
","`도마29` 는 동성로 [통신골목] 인근에 위치한 초밥 전문점으로 덮밥, 샐러드 등 다양한 일본 요리를 즐기실 수 있습니다.","지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 119m 거리.",버스 정류장은 `2호선반월당역1` 정류장이 가장 가깝습니다.,중구,"[35.8658367, 128.5957117]",35.8658367,128.5957117
15,1617,대구광역시 중구 동산동 125,디저트/베이커리,빵장수단팥빵,053-423-0088,09:00 ~ 21:00,없음,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"생크림 단팥빵 2,500원
통단팥빵 2,000원
무설탕 단팥빵 2,000원
녹차 크림치즈 2,000원",`빵장수단팥빵` 은 프로 제빵왕인 이곳의 `오너 셰프`가 어린 시절 할머니가 사주던 단팥빵 맛을 잊지 못해 시작하게 된 단팥빵 전문점입니다.,지하철 3호선 서문시장역 1번 출구에서 도보로 약 285m 거리.,버스 정류장은 `섬유회관앞` 정류장이 가장 가깝습니다.,중구,"[35.8704127, 128.5847066]",35.8704127,128.5847066
16,1616,대구광역시 중구 계산동1가 33,한식,다금예전칼국수,053-255-1515,10:00 ~ 21:00,100석(룸1),5대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"들깨영양칼국수 7,000원
찹쌀수제비 8,000원
코다리찜(2마리) 22,000원",오랜 전통을 자랑하는 `다금예전칼국수` 는  시내에서 먹거리 음식이 많지 않던 시절부터 지금까지 사람들의 쉼터 역할을 하고 있는 칼국수 전문점입니다.,지하철 3호선 서문시장역 1번 출구에서 도보로 약 445m 거리.,버스 정류장은 `섬유회관건너2` 정류장이 가장 가깝습니다.,중구,"[35.8697749, 128.586116]",35.8697749,128.586116
17,1615,대구광역시 중구 남산동 437,디저트/베이커리,남산제빵소,053-423-4777,10:00 ~ 22:00,160석,프라임 유료주차장 2시간 무료,www.instagram.com/namsan_jebbangso,영어 ,불가,불가능,불가능,불가능,"얼그레이 밀크티 6,000원 
앙버터 4,700원 
계절과일 타르트 5,600원
","‘건강한 재료, 맛있는 빵’ 이라는 생각에서 출발한 `남산제빵소`는 매일 갓 구운 빵을 만날 수 있는 베이커리 전문점입니다.","반월당 1호선, 2호선 19번 출구에서 도보로 약 183m 거리.",버스 정류장은 `현대백화점.동아쇼핑건너` 주차장이 가장 가깝습니다.,중구,"[35.8650234, 128.5891969]",35.8650234,128.5891969
18,1614,대구광역시 중구 동인동4가 467-1,한식,김해통닭,053-427-6940,11:30 ~ 23:00,40석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"닭불고기 17,000원
닭똥집 6,000원 ~ 11,000원
통닭(양념, 간장, 후라이드) 15,000원
닭조림 16,000원
제사닭 15,000원",44년 이상 전통을 자랑하는 `김해통닭` 은 닭불고기라는 특별한 메뉴를 판매하고 있는 닭 요리 전문점입니다.,지하철 1호선 신천역 3번 출구에서 도보로 약 1142m 거리.,버스 정류장은 `동인초등학교건너` 정류장이 가장 가깝습니다.,중구,"[35.8689744, 128.6125335]",35.8689744,128.6125335
19,1613,대구광역시 중구 남성로 48-1,세계요리,삐에뜨라,053-742-4819,12:00 ~ 21:30,36석(룸1),없음(인근 유료주차장 이용),blog.naver.com/pietra2013,영어 ,가능,불가능,불가능,가능,"감자뇨끼 20,000원
만조풍기 리조또 20,000원
안심스테이크 45,000원
알리오 올리오 16,000원",`삐에뜨라 (Pietra)` 는 이태리어로 `단단한 돌`을 의미를 담아 탄생하게 된 이탈리안 레스토랑입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 392m 거리.",버스 정류장은 `약령시입구` 정류장이 가장 가깝습니다.,중구,"[35.868402, 128.5891101]",35.868402,128.5891101
20,1612,대구광역시 중구 계산동2가 171,전통차/커피전문점,라미아에밀리 ( La mia emily ),053-256-8282,11:00 ~ 22:00,132석,없음(유료주차장),없음,영어 중국어 &lt;BR&gt;,가능,불가능,불가능,불가능,"에밀리 브런치 세트 13,000원 
아라비아따 토마토 파스타 13,500원 
쉬림프 샐러드 피자 16,500원
",“라 미아 에밀리” 는 한국의 전통적인 미를 살린 한옥을 배경으로 한 뷰가 이쁜 카페입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 206m",버스 정류장은 `약령시입구` 정류장이 가장 가깝습니다.,중구,"[35.8668943, 128.5894289]",35.8668943,128.5894289
21,1611,대구광역시 중구 남성로 82,한식,더메밀,053-753-4321,11:30 ~ 20:30 (브레이크타임 15:30 ~ 17:00),40석,없음(공영주차장 유료),없음,영어 ,가능,불가능,불가능,불가능,"메밀묵밥 9,000원
메밀칼국수 9,000원
메밀버섯전 11,000원
보쌈 38,000원 
훈제 오리 수육 30,000원",`더메밀` 은 매일 직접 만드는 첨가물이 전혀 없는 메밀 요리를 즐길 수 있는 곳으로 경상도 지역의 전통 음식을 맛볼 수 있는 메밀 요리 전문점입니다.,"지하철 1호선, 2호선 반월당역 18번 출구에서 도보로 약 467m 거리.",버스 정류장은 `매일신문사앞` 정류장이 가장 가깝습니다.,중구,"[35.8675249, 128.5911577]",35.8675249,128.5911577
22,1610,대구광역시 중구 삼덕동3가 217-5,세계요리,멘타와이,053-252-1305,11:00 ~ 21:00,24석,없음,없음,영어 ,가능,불가능,불가능,불가능,"차돌쌀국수 10,000원
나시고랭 10,000원
팟타이 10,000원
분짜 12,000원",`멘타와이` 는 깔끔하고 세련된 인테리어 그리고 청결한 오픈 주방이 한눈에 보이는 동남아 음식 전문점입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 756m,버스 정류장은 `방천시장(김광석길)건너` 정류장이 가장 가깝습니다.,중구,"[35.8644186, 128.6099705]",35.8644186,128.6099705
23,1609,대구광역시 중구 대봉동 7-6,특별한 술집,대도양조장,053-352-2345,11:00 ~ 24:00,150석,12대,없음,영어 ,가능,불가능,불가능,불가능,"대도IPA(수제맥주) 8,000원 
메가홉스(수제맥주) 10,000원 
페퍼로니피자 16,000원 
부채살 찹 스테이크 27,000원 
멕시칸 피자 17,000원 
새우 로제 파스타 15,000원
",`대도양조장` 은 대구의 대표 관광지 ‘김광석 길’에 위치한 브루 펍(브루어리+펍)입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 435m,버스 정류장은 `방천시장(김광석길)앞` 정류장이 가장 가깝습니다.,중구,"[35.8607633, 128.6064969]",35.8607633,128.6064969
24,1607,대구광역시 중구 시장북로 79-2,한식,대림가든,053-522-1822,11:30 ~ 20:00,54석(룸4),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"곤드레밥 촌된장 11,000원
장어탕(시세)
고등어구이 10,000 ~ 15,000원",`대림가든` 은 전통 방식으로 만든 민물 장어탕과 다양한 한식을 즐길 수 있는 한식 전문점입니다.,지하철 3호선 서문시장역 2번 출구에서 도보로 약 319m,버스 정류장은 `달성공원건너` 정류장이 가장 가깝습니다.,중구,"[35.8723215, 128.5817838]",35.8723215,128.5817838
25,1606,대구광역시 중구 남산동 464,한식,토담집,053-255-3257,10:00 ~ 22:00,40석,유료주차장,없음,영어 ,가능,불가능,불가능,가능,"시래기 코다리찜 12,000원
갈치찌개 15,000원
코다리찜 10,000원
낚지볶음 10,000원",`토담집` 은 다양한 한식을 집 밥처럼 즐길 수 있는 한식 전문점입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 151m",버스 정류장은 `현대백화점.동아쇼핑건너` 정류장이 가장 가깝습니다.,중구,"[35.8657211, 128.5893671]",35.8657211,128.5893671
26,1605,대구광역시 중구 남산동 2118-2,한식,제일콩국,053-253-4863,07:30 ~ 24:00,50석,15대,없음,영어 일본어 중국어 &lt;BR&gt;,가능,불가능,가능,불가능,"제일콩국 4,500원
찹쌀콩국 5,000원
토스트 3,500원
돈까스 8,000원",`제일콩국` 은 간단한 식사나 간식으로 먹기에 좋은 콩국과 토 스트를 먹을 수 있는 음식점입니다.,지하철 3호선 남산역 2번 출구에서 도보로 약 270m,버스 정류장은 `명덕초등학교앞` 정류장이 가장 가깝습니다.,중구,"[35.8569755, 128.5860716]",35.8569755,128.5860716
27,1604,대구광역시 중구 동산동 108,한식,동해식당,053-253-6037,10:00 ~ 20:00,32석(룸1),유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"동태탕 8,000원 
갈치찌개 9,000원 
비빔밥/된장찌개/청국장 각 7,000원 
코다리찜 30,000원 ~ 35,000원
","고향 어머니의 손맛으로 정갈하게 마련한 한식(비빔밥, 청국장, 동태탕, 코다리찜 등)을 맛볼 수 있는 음식점입니다.",지하철 3호선 서문시장역 1번 출구에서 도보로 약 294m,버스 정류장은 `섬유회관앞` 정류장이 가장 가깝습니다.,중구,"[35.8703077, 128.5846217]",35.8703077,128.5846217
28,1603,대구광역시 중구 공평동 56-4,한식,팔공막창,053-426-4333,12:00 ~ 03:00,35석,주변 유료주차장,없음,영어 일본어 중국어 &lt;BR&gt;,가능,불가능,불가능,가능,"팔공막창 7,000원
생막창 7,000원
삼겹살 7,000원
불닭발 7,500원",`팔공막창` 은 특제 양념으로 숙성한 막창과 포장마차 같은 소박한 분위기에서 막창을 제대로 즐기실 수 있습니다.,지하철 1호선 중앙로역 2번 출구 도보로 약 465m,버스 정류장은 `2.28기념중앙공원앞` 정류장이 가장 가깝습니다.,중구,"[35.8683666, 128.5977393]",35.8683666,128.5977393
29,1602,대구광역시 중구 동인동2가 114,한식,갈비탕집,010-****-8700,11:00 ~ 21:00,60석,주변 유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"갈비탕 11,000원 
갈비전골/갈비수육/갈비볶음 (中) 32,000원 (大) 42,000원 
",`동인동 찜갈비 골목` 에 위치한 `갈비탕집` 은 제대로 된 갈비탕 맛을 즐길 수 있는 갈비탕 전문점입니다.,지하철 1호선 칠성시장역 3번 출구에서 도보로 약 684m,버스 정류장은 `동인치안센터앞` 정류장이 가장 가깝습니다.,중구,"[35.8703446, 128.604828]",35.8703446,128.604828
30,1601,대구광역시 중구 삼덕동3가 383,중식,동네짬뽕,053-424-1588,11:00 ~ 21:00 (브레이크타임 15:00~17:00),18석,없음,없음,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"동네짬뽕 6,000원
동네짬뽕밥 6,000원
동네유니짜장 4,000원
동네찹쌀탕수육 10,000",`동네짬뽕` 은 고추기름과 캡사이신을 전혀 사용하지 않는 고기 육수 베이스의 짬뽕 전문점입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 657m,버스 정류장은 `중구청건너` 정류장이 가장 가깝습니다.,중구,"[35.8642986, 128.6081436]",35.8642986,128.6081436
31,1600,대구광역시 중구 남산동 2627-3,한식,동동배,053-257-5567,17:00 ~ 02:00,54석,4대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"생막창(200g) 8,000원 
삼겹살(150g) 8,000원 
차돌박이(120g) 9,000원 
김치전골 18,000원
",`동동배` 는 일명 대구 `걸레막창` 으로 유명한 막창 전문점으로 직접 손질과 양념을 만들어 판매하고 있는 `막창구이` 전문점입니다.,"지하철 2호선, 3호선 청라언덕역 4번 출구에서 도보로 약 544m",버스 정류장은 `대명시장건너` 정류장이 가장 가깝습니다.,중구,"[35.8608382, 128.5785244]",35.8608382,128.5785244
32,1599,대구광역시 중구 공평동 69-2,세계요리,바스코(VASCO),053-422-9354,12:00 ~ 21:30,50석,없음,없음,영어 일본어 ,가능,불가능,불가능,불가능,"불고기퀘사디아 14,900원  
포크치미창가 15,900원 
아보카도크림파스타 12,900원 
칠리새우타코(2p) 8,900원
",`바스코(VASCO)` 는 신선한 재료와 홈메이드 방식으로 만들어지는 퓨전 멕시코 요리를 맛볼 수 있는 음식점입니다.,"지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 747m.",버스 정류장은 `2.28기념중앙공원앞` 정류장이 가장 가깝습니다.,중구,"[35.869182, 128.5997752]",35.869182,128.5997752
33,1598,대구광역시 중구 삼덕동3가 277-2,일식,굿또스시,053-255-3534,12:00 ~ 22:00,10석,없음,없음,영어 일본어 ,가능,불가능,불가능,가능,"디너오마카세 65,000원
런치오마카세 40,000원
모듬 사시미 20,000원
스페셜 모듬 사시미 40,000원",`굿또스시` 는 오마카세(요리사에게 맡기는 요리) 전문점으로 다양한 일식 코스 요리를 즐길 수 있는 곳입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 570m,버스 정류장은 `방천시장(김광석길)건너` 정류장이 가장 가깝습니다.,중구,"[35.8641182, 128.6077149]",35.8641182,128.6077149
34,1597,대구광역시 중구 동인동4가 71,한식,금이옥식당,053-527-4301,11:00 ~ 13:00,50석(룸1),6대,없음,가능한 외국어가 없습니다.,불가,불가능,불가능,가능,"갈비탕 12,000원
통도가니탕 13,000원 
",`금이옥식당` 은 가마솥에 직접 끓인 육수로 시원하고 담백하게 만든 갈비탕을 맛볼 수 있는 갈비탕 전문점입니다.,지하철 2호선 경대병원역 4번 출구에서 도보로 약 1131m 거리.,버스 정류장은 `동인초등학교건너` 정류장이 가장 가깝습니다.,중구,"[35.8689495, 128.6089101]",35.8689495,128.6089101
35,1596,대구광역시 중구 화전동 2-13,한식,할매집식당,053-425-9587,09:00 ~ 20:00,72석(룸1),유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"돼지두루치기 7,000원
오징어볶음 7,000원
오삼볶음 7,000원
정식 6,000원 
비빔밥 6,000원",`대구역할매집식당` 으로 유명한 `할매집식당` 은 집 밥을 대접하는 마음으로 만든 한식을 맛볼 수 있는 오랜 전통의 한식당입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 219m,버스 정류장은 `경상감영공원앞` 정류장이 가장 가깝습니다.,중구,"[35.8736492, 128.5948322]",35.8736492,128.5948322
36,1595,대구광역시 중구 포정동 21-3,한식,유경식당,053-252-5098,09:00 ~ 21:00,52석,유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"대구탕 20,000원
아구탕 13,000원
보리굴비 20,000원",`유경식당` 은 30년 2대에 신선한 재료로 맛을 내는 대구탕 전문점입니다.,지하철 1호선 중앙로역 4번 출구에서 도보로 약 172m.,버스 정류장은 `경상감영공원건너` 정류장이 가장 가깝습니다.,중구,"[35.8723319, 128.5931103]",35.8723319,128.5931103
37,1594,대구광역시 중구 계산동1가 78-1,한식,강구,053-253-8944,09:30 ~ 21:30,64석,유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"생대구탕/생아구탕 15,000원 
생아구수육 40,000원 ~ 50,000원 
미주구리회 25,000원 ~ 30,000원
",`강구식당` 은  생대구탕과 매콤한 특제 소스에 찍어 먹는 야들야들한 생아구수육이 특별한 집입니다.,지하철 3호선 서문시장역 1번 출구에서 도보로 약 560m,버서 정류장은 `매일신문사건너` 정류장이 가장 가깝습니다,중구,"[35.86898130000001, 128.5867624]",35.86898130000001,128.5867624
38,1593,대구광역시 중구 삼덕동3가 227-6,한식,해피치즈스마일,053-263-5445,11:30 ~ 21:30,32석,없음,happycheesesmile.com,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"떡볶이 4,500원 
해피 당볶이 7,000원 
햅삐로제볶이 9,500원 
모둠튀낌 7,000원 
돈가스 플레이트 13,000원
","분식으로 모두를 행복하게 만들고 싶다 는 마음으로 상호를 만든 `해피 치즈 스마일` 은 눈으로 먹고 맛으로 먹는 떡볶이와 생등심, 안심을 이용한 즉석에서 바로 튀겨내는 돈까스를 즐길 수 있습니다.",지하철 2호선 경대병원역 4번 출구에서 도보로 약 652m 거리.,버스 정류장은 `방천시장(김광석길)건너` 정류장이 가장 가깝습니다.,중구,"[35.8646444, 128.6081021]",35.8646444,128.6081021
39,1592,대구광역시 중구 봉산동 132-17,양식,함박별장,053-255-3288,12:00 ~ 22:00 (브레이크 타임 15:00 ~17:00),32석,유료주차장,instagram.com/villa_de_hamburg,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"오리지널 함박스테이크 13,800원
로제 함박스테이크 14,700원
스파이시 토마토함박스테이크 14,700원
크림 함박스테이크 14,700원",`함박별장`은 2016년 봉산동에서 시작한 고품격 수제 함박스테이크 전문점입니다.,"지하철 1호선, 2호선 반월당역 9번 출구에서 도보로 약 155m 거리.",버스 정류장은 `봉산문화거리앞` 정류장이 가장 가깝습니다.,중구,"[35.8638452, 128.5969048]",35.8638452,128.5969048
40,1591,대구광역시 중구 동성로3가 53-4,디저트/베이커리,근대골목단팥빵커피인코나,053-423-1883,08:00 ~ 22:00,24석,유료주차장,없음,영어 ,가능,불가능,불가능,불가능,"아이스녹차(생크림)단팥빵 3,000원
생딸기크림단팥빵사랑빵손님 3,000원
단팥빵 2,000원
아메리카노 3,000원 ~ 3,500원",중구 근대골목 인근에 위치한 단팥빵 전문점으로 다양한 종류의 단팥빵과 함께 커피와 음료도 판매하고 있습니다.,"지하철 1호선, 2호선 반월당역 14번 출구에서 도보로 181m.",버스 정류장은 `약령시건너(동성로입구)` 정류장이 가장 가깝습니다.,중구,"[35.8671128, 128.5931987]",35.8671128,128.5931987
41,1590,대구광역시 중구 봉산동 77,한식,오이쏘이식당,070-4155-1380,11:30 ~ 20:00 (브레이크타임 15:30 ~ 17:30),15석,없음,www.instagram.com/oisoi_kitchen_,영어 ,불가,불가능,불가능,불가능,"차돌박이된장찌개 10,000원
몽글몽글 순두부찌개 10,000원
항정살덮밥 11,000원
칠리새우덮밥 12,000원","`오이쏘이식당` 은 된장찌개, 순두부찌개와 덮밥류를 맛볼 수 있는 아담한 한식집입니다.","지하철 1호선, 2호선 반월당역 9번 출구에서 도보로 228m",버스 정류장은 `2호선반월당역2` 정류장이 가장 가깝습니다.,중구,"[35.8632108, 128.5959788]",35.8632108,128.5959788
